order_date_full,order_year,order_month,product_category,total_orders,total_customers,state,total_revenue,total_revenue_usd,avg_order_value,avg_order_value_usd,cumulative_revenue_ytd_usd,mom_revenue_change_usd
2017-02-01,2017,02,fashion_bags_accessories,1,1,MA,80.77,22.62,80.77,22.62,22.62,
2017-02-01,2017,02,fashion_bags_accessories,7,7,MG,820.98,229.87,117.28,32.84,355.69,104.06
2017-02-01,2017,02,fashion_bags_accessories,1,1,PB,74.74,20.93,74.74,20.93,20.93,
2017-02-01,2017,02,fashion_bags_accessories,1,1,PI,93.97,26.31,93.97,26.31,26.31,
2017-02-01,2017,02,fashion_bags_accessories,1,1,PR,216.27,60.56,216.27,60.56,129.01,-7.9
2017-02-01,2017,02,fashion_bags_accessories,1,1,RJ,69.04,19.33,69.04,19.33,97.15,-58.49
2017-02-01,2017,02,fashion_bags_accessories,1,1,RS,100.91,28.25,100.91,28.25,49.46,7.05
2017-02-01,2017,02,fashion_bags_accessories,3,3,SC,595.35,166.7,198.45,55.57,284.37,49.03
2017-02-01,2017,02,fashion_bags_accessories,15,15,SP,1033.98,289.51,68.93,19.3,474.06,104.97
2017-02-01,2017,02,fashion_male_clothing,1,1,BA,118.03,33.05,118.03,33.05,33.05,
2017-02-01,2017,02,fashion_male_clothing,2,2,MG,146.06,40.9,73.03,20.45,40.9,
2017-02-01,2017,02,fashion_male_clothing,2,2,RJ,210.71,59.0,105.36,29.5,59.0,
2017-02-01,2017,02,fashion_male_clothing,2,2,SP,288.22,80.7,144.11,40.35,80.7,
2017-02-01,2017,02,fashion_shoes,1,1,GO,222.8,62.38,222.8,62.38,62.38,
2017-02-01,2017,02,fashion_shoes,1,1,SP,45.97,12.87,45.97,12.87,26.59,-0.85
2017-02-01,2017,02,fashion_underwear_beach,1,1,MG,66.53,18.63,66.53,18.63,18.63,
2017-02-01,2017,02,fashion_underwear_beach,1,1,PR,39.51,11.06,39.51,11.06,11.06,
2017-02-01,2017,02,fashion_underwear_beach,3,3,RJ,596.44,167.0,198.81,55.67,186.32,147.68
2017-02-01,2017,02,fashion_underwear_beach,1,1,SP,59.73,16.72,59.73,16.72,16.72,
2017-02-01,2017,02,fixed_telephony,1,1,AP,1620.75,453.81,1620.75,453.81,453.81,
2017-02-01,2017,02,fixed_telephony,1,1,ES,31.05,8.69,31.05,8.69,8.69,
2017-02-01,2017,02,fixed_telephony,4,4,MG,110.54,30.95,27.64,7.74,38.09,23.81
2017-02-01,2017,02,fixed_telephony,1,1,MS,49.04,13.73,49.04,13.73,13.73,
2017-02-01,2017,02,fixed_telephony,1,1,PE,50.3,14.08,50.3,14.08,14.08,
2017-02-01,2017,02,fixed_telephony,2,2,PR,69.93,19.58,34.97,9.79,19.58,
2017-02-01,2017,02,fixed_telephony,1,1,RJ,44.01,12.32,44.01,12.32,26.49,-1.85
2017-02-01,2017,02,fixed_telephony,2,2,RS,172.63,48.34,86.31,24.17,136.51,-39.84
2017-02-01,2017,02,fixed_telephony,4,4,SP,244.47,68.45,61.12,17.11,208.16,-71.25
2017-02-01,2017,02,fixed_telephony,1,1,TO,28.77,8.06,28.77,8.06,8.06,
2017-02-01,2017,02,food,2,2,BA,214.15,59.96,107.08,29.98,59.96,
2017-02-01,2017,02,food,1,1,CE,167.1,46.79,167.1,46.79,46.79,
2017-02-01,2017,02,food,1,1,MG,181.98,50.95,181.98,50.95,50.95,
2017-02-01,2017,02,food,1,1,PE,29.84,8.36,29.84,8.36,8.36,
2017-02-01,2017,02,food,1,1,PR,40.16,11.24,40.16,11.24,11.24,
2017-02-01,2017,02,food,1,1,RS,54.95,15.39,54.95,15.39,15.39,
2017-02-01,2017,02,food,2,2,SP,242.02,67.77,121.01,33.88,89.84,45.7
2017-02-01,2017,02,furniture_bedroom,1,1,MG,501.88,140.53,501.88,140.53,140.53,
2017-02-01,2017,02,furniture_decor,3,3,AL,495.76,138.81,165.25,46.27,138.81,
2017-02-01,2017,02,furniture_decor,5,5,BA,429.57,120.28,85.91,24.06,267.02,-26.46
2017-02-01,2017,02,furniture_decor,2,2,CE,405.16,113.44,202.58,56.72,162.87,64.02
2017-02-01,2017,02,furniture_decor,3,3,ES,932.73,261.16,310.91,87.05,303.21,219.12
2017-02-01,2017,02,furniture_decor,2,2,GO,120.42,33.72,60.21,16.86,33.72,
2017-02-01,2017,02,furniture_decor,2,2,MA,222.54,62.31,111.27,31.16,106.87,17.75
2017-02-01,2017,02,furniture_decor,30,30,MG,5194.2,1454.38,173.14,48.48,3038.6,-129.85
2017-02-01,2017,02,furniture_decor,2,2,MT,454.71,127.32,227.36,63.66,127.32,
